"","closeness_zeros","closeness_min","closeness_max","closeness_mean","closeness_sd","betweenness_zeros","betweenness_min","betweenness_max","betweenness_mean","betweenness_sd","edge_betweenness_zeros","edge_betweenness_min","edge_betweenness_max","edge_betweenness_mean","edge_betweenness_sd","page.rank_zeros","page.rank_min","page.rank_max","page.rank_mean","page.rank_sd","eigen_centrality_zeros","eigen_centrality_min","eigen_centrality_max","eigen_centrality_mean","eigen_centrality_sd","authority_score_zeros","authority_score_min","authority_score_max","authority_score_mean","authority_score_sd","strength_zeros","strength_min","strength_max","strength_mean","strength_sd","coreness_score_zeros","coreness_score_min","coreness_score_max","coreness_score_mean","coreness_score_sd","Eweights_zeros","Eweights_min","Eweights_max","Eweights_mean","Eweights_sd","score","id","label"
"1",0,0.21198611235883,0.501695569425071,0.365484917451946,0.0922423990032761,8,0,6,0.7,1.88856206322871,7,0,5,1.15555555555556,0.975974001972006,0,0.0729352360885548,0.152829065321457,0.1,0.0252079230533594,0,0.442862671872903,1,0.657978432717321,0.179726439070871,0,0.442862671872903,1,0.657978432717321,0.179726439070871,0,1.99324064421372,4.71729015109865,2.9260353386029,0.860521582499458,0,9,9,9,0,0,0.171823152848702,0.829135865345372,0.325115037622544,0.159157449583833,0,"P_1","TRAIN"
"2",0,0.235804324003486,0.470853058223522,0.399888199635864,0.0820536281333098,8,0,2,0.3,0.674948557710553,3,0,3,1.06666666666667,0.495433694306862,0,0.083720409017394,0.152946648969636,0.1,0.0228139613586074,0,0.527700896983281,1,0.656321342476772,0.161347953234619,0,0.527700896983281,1,0.656321342476772,0.161347953234619,0,2.12380483153894,4.24080433735056,2.62760359733098,0.699205791778497,0,9,9,9,0,0,0.186458381653485,0.788277739001482,0.291955955258998,0.129576779495311,0,"P_2","TRAIN"
"3",0,0.146214662155941,0.380750938056085,0.317700133393794,0.0701280895507945,9,0,1,0.1,0.316227766016838,1,0,2,1.02222222222222,0.260147588258603,0,0.080434745316565,0.189374966767647,0.1,0.0325982197873802,0,0.475930257386194,1,0.583298080019357,0.155634351972369,0,0.475930257386194,1,0.583298080019357,0.155634351972369,0,2.62638880183848,6.83925938243783,3.38928966538157,1.25992111120321,0,9,9,9,0,0,0.209229675887114,0.875933043032664,0.376587740597952,0.207773865775607,0,"P_3","TRAIN"
"4",0,0.118383866191839,0.216341455925278,0.172031437301694,0.0440487730824888,10,0,0,0,0,0,1,1,1,0,0,0.0772870562631895,0.131799462473679,0.1,0.0252168417639453,0,0.643363922341526,1,0.795498055362928,0.160575836837952,0,0.643363922341526,1,0.795498055362928,0.160575836837952,0,4.62232259519133,8.44709699191207,6.21901658416456,1.7643528920234,0,9,9,9,0,0,0.202418411176348,0.980313572513221,0.691001842684951,0.322443844823399,1,"P_4","TRAIN"
"5",0,0.119825420772782,0.233295583172748,0.184916246176328,0.0490999391394303,8,0,1,0.2,0.421637021355784,2,0,2,1.04444444444444,0.366528899738389,0,0.0767407138744475,0.138431655946063,0.1,0.0267962726295453,0,0.611203587790452,1,0.765340103629996,0.168340187545223,0,0.611203587790452,1,0.765340103629995,0.168340187545223,0,4.28640776820678,8.34547455415358,5.82451840994622,1.76196009372633,0,9,9,9,0,0,0.213886369981254,0.9806270090258,0.647168712216247,0.313093280353036,1,"P_5","TRAIN"
"6",0,0.12431213466019,0.253416708382949,0.204559047480716,0.0537005038811932,10,0,0,0,0,0,1,1,1,0,0,0.0774877109353089,0.146060308550882,0.1,0.0290581305271505,0,0.596081519839218,1,0.734407525528161,0.16848400167981,0,0.596081519839219,1,0.734407525528162,0.168484001679809,0,3.94606972200451,8.04426697951512,5.2957975619509,1.73386307053207,0,9,9,9,0,0,0.181403791786639,0.926604262547352,0.588421951327878,0.303488761351072,1,"P_6","TRAIN"
"7",0,0.120069084686115,0.186471966080795,0.152174996972296,0.0324359026168148,10,0,0,0,0,0,1,1,1,0,0,0.0808006441891532,0.119136570755788,0.1,0.0188439536289462,0,0.7204578036576,1,0.862635899814556,0.136308697502268,0,0.7204578036576,1,0.862635899814556,0.136308697502268,0,5.36273639956537,8.32853854607291,6.85070927320379,1.45699080072094,0,9,9,9,0,0,0.18882704971784,0.968130437942874,0.761189919244866,0.283418036428471,1,"P_7","TRAIN"
"8",0,0.167327137038657,0.428078820337832,0.358890087164342,0.077728520308616,8,0,1,0.2,0.421637021355784,2,0,2,1.04444444444444,0.366528899738389,0,0.0810397462962535,0.187252509554469,0.1,0.0318294643970635,0,0.470527647979583,1,0.582058288114677,0.15911887012161,0,0.470527647979583,1,0.582058288114676,0.15911887012161,0,2.33601839775866,5.97631691845044,2.99253536602559,1.09083791877818,0,9,9,9,0,0,0.189048338714284,0.838723768884163,0.332503929558399,0.180342475362456,0,"P_8","TRAIN"
"9",0,0.11868685257828,0.204677562614739,0.13983067593831,0.0272585854391679,9,0,7,0.7,2.21359436211787,7,0,5,1.15555555555556,1.02148634030727,0,0.0709640024500991,0.112867457911412,0.1,0.0138581787276554,0,0.626202223386553,1,0.897209221136999,0.120987035382581,0,0.626202223386553,1,0.897209221136999,0.120987035382581,0,4.88573338095824,8.42553305843584,7.35349985775343,1.16686730910896,0,9,9,9,0,0,0.187001946481722,0.979113066609655,0.817055539750381,0.21756896453262,1,"P_9","TRAIN"
"10",0,0.11744384536604,0.220064272642868,0.171680170259221,0.0444108140927391,10,0,0,0,0,0,1,1,1,0,0,0.0760172591201207,0.132471969595683,0.1,0.0253678172530605,0,0.632642801609651,1,0.795746250919523,0.161119971224244,0,0.632642801609651,1,0.795746250919523,0.161119971224244,0,4.54412698613215,8.51470757691281,6.23788090641994,1.77966998949186,0,9,9,9,0,0,0.200097991866127,0.975071406685683,0.693097878491104,0.326812772972186,1,"P_10","TRAIN"
"11",0,0.391156552275038,0.530980542762984,0.470098976012687,0.047142241958737,9,0,1,0.1,0.316227766016838,1,0,2,1.02222222222222,0.260147588258603,0,0.0894265695251954,0.116305962673007,0.1,0.00928947029463935,0,0.750095017254026,1,0.849353831206327,0.0864896058474848,0,0.750095017254026,1,0.849353831206327,0.0864896058474846,0,1.88330818074133,2.55652115293433,2.14813411885793,0.232773797271657,0,9,9,9,0,0,0.176591909560201,0.477739951559578,0.238681568761992,0.0490250211701132,0,"P_11","TRAIN"
"12",0,0.12319123245223,0.239810500565293,0.178686825636243,0.0449668031654324,8,0,4,0.5,1.26929551764398,5,0,5,1.11111111111111,0.775248412452487,0,0.0739072710744533,0.132329757386349,0.1,0.0231152352271241,0,0.592988437860515,1,0.787627279985956,0.155713889800305,0,0.592988437860515,1,0.787627279985956,0.155713889800305,0,4.16995918711963,8.11746079728336,5.94508946442588,1.55539475724199,0,9,9,9,0,0,0.180584823360716,0.955072783939119,0.66056549604732,0.277060736093207,1,"P_12","TRAIN"
"13",0,0.117103588568921,0.236831881133816,0.1695193317296,0.0373497580138118,9,0,5,0.5,1.58113883008419,5,0,5,1.11111111111111,0.80403025220737,0,0.0724207808959535,0.133745138648014,0.1,0.0202985721781945,0,0.571562561132712,1,0.776144752576932,0.139083658088415,0,0.571562561132712,1,0.776144752576931,0.139083658088415,0,4.22240449728546,8.53944795561458,6.17517173383584,1.42564409925682,0,9,9,9,0,0,0.215332649932163,0.985070611291682,0.686130192648427,0.251742849518013,1,"P_13","TRAIN"
"14",0,0.120626180049579,0.221370993013017,0.169750903410756,0.0403033117235836,8,0,1,0.2,0.421637021355784,2,0,2,1.04444444444444,0.366528899738389,0,0.0761209343038861,0.129685118982896,0.1,0.0213167426561263,0,0.625675527417468,1,0.802081800332014,0.148147850428779,0,0.625675527417468,1,0.802081800332014,0.148147850428779,0,4.51730367375276,8.29007434032136,6.20862850914783,1.49970646930047,0,9,9,9,0,0,0.211315314658198,0.957772344245361,0.689847612127536,0.271488574175136,1,"P_14","TRAIN"
"15",0,0.123141741498012,0.200354529489122,0.162560221279457,0.036639171503741,10,0,0,0,0,0,1,1,1,0,0,0.0800914394582899,0.122888380969003,0.1,0.0200310393532093,0,0.687647469738606,1,0.834184724710506,0.142912933697967,0,0.687647469738605,1,0.834184724710505,0.142912933697967,0,4.99115244636529,8.12072322378308,6.44741074883826,1.46066121321929,0,9,9,9,0,0,0.211298838261011,0.965648048461105,0.71637897209314,0.269944788838199,1,"P_15","TRAIN"
"16",0,0.117838915545484,0.260092593940724,0.20070249345129,0.0542707682955234,8,0,2,0.3,0.674948557710553,3,0,2,1.06666666666667,0.447213595499958,0,0.0746903719446702,0.150707546661545,0.1,0.0285755502723173,0,0.555201608007579,1,0.713623705004576,0.164806755548272,0,0.555201608007579,1,0.713623705004576,0.164806755548272,0,3.84478460093294,8.48616092036266,5.39918977639923,1.74106832221969,0,9,9,9,0,0,0.206318447533397,0.971333647874319,0.59990997515547,0.303275747282104,1,"P_16","TRAIN"
"17",0,0.118628650953487,0.208353453597122,0.161684017533647,0.0369591625064815,9,0,1,0.1,0.316227766016838,1,0,2,1.02222222222222,0.260147588258603,0,0.0769363618601551,0.126221197330406,0.1,0.0213343328315971,0,0.653915442340503,1,0.822812310534776,0.146427611092707,0,0.653915442340503,1,0.822812310534776,0.146427611092707,0,4.79953647388839,8.42966679602629,6.50548624765432,1.56763153021358,0,9,9,9,0,0,0.200470280071994,0.975788937940054,0.722831805294924,0.290537271721664,1,"P_17","TRAIN"
"18",0,0.257504969410141,0.494051781349656,0.421216627964453,0.0689061591663754,9,0,3,0.3,0.948683298050514,3,0,4,1.06666666666667,0.579968651190421,0,0.0851722318821633,0.150480817392042,0.1,0.0190869796936789,0,0.553677296550604,1,0.674364907776967,0.131155819795102,0,0.553677296550604,1,0.674364907776967,0.131155819795102,0,2.02407933287517,3.88342020074669,2.45250256745135,0.543286083303677,0,9,9,9,0,0,0.181863246286024,0.619288712464626,0.272500285272372,0.101308448161194,0,"P_18","TRAIN"
"19",0,0.285630957230876,0.467015425654246,0.400397853909456,0.0729562859824827,7,0,2,0.5,0.849836585598797,5,0,3,1.11111111111111,0.647450321794591,0,0.0855297611787909,0.130533859498805,0.1,0.0175000747410303,0,0.621386381320732,1,0.7575338962205,0.155256917968398,0,0.621386381320732,1,0.7575338962205,0.155256917968398,0,2.14125689445716,3.50102107171702,2.58420329048228,0.531821752759803,0,9,9,9,0,0,0.176899716555754,0.664886895788108,0.287133698942475,0.106887031294123,0,"P_19","TRAIN"
"20",0,0.465783869189402,0.518983003846719,0.492782695616053,0.0188472324187346,10,0,0,0,0,0,1,1,1,0,0,0.0955374364025813,0.104886105073727,0.1,0.00330025269976809,0,0.907430545101767,1,0.951999223375167,0.032764248088545,0,0.907430545101768,1,0.951999223375167,0.0327642480885447,0,1.92684537371738,2.1469184876245,2.03196572000156,0.0777044714611162,0,9,9,9,0,0,0.174475068307766,0.271107224369951,0.225773968889062,0.0239094698330192,0,"P_20","TRAIN"
"21",0,0.206842690804744,0.484479232651896,0.352108461502576,0.0907136880599939,9,0,8,0.8,2.5298221281347,8,0,6,1.17777777777778,1.17335743776893,0,0.0727620014089553,0.151356879437541,0.1,0.02530686833673,0,0.454972558409071,1,0.677403087078938,0.179841413926993,0,0.454972558409071,1,0.677403087078938,0.179841413926994,0,2.06407196140544,4.83459191189881,3.04071016321067,0.894390743565582,0,9,9,9,0,0,0.185843443126007,0.80923047552135,0.337856684801185,0.158202339047124,0,"P_21","TRAIN"
